Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
1.47,9.56,40.2,,,,,,9.5,,17.5,5.55,12.8
1.48,9.56,40.2,,,,,,9.51,,17.51,5.56,12.8
1.49,9.58,40.2,,,,,,9.52,,17.52,5.57,12.9
1.5,9.6,40.4,,,,,,9.53,,17.54,5.59,12.9
1.52,9.6,40.5,,,,,,9.55,,17.55,5.59,13.2
1.53,9.62,40.6,,,,,,9.56,,17.56,5.61,13.1
1.54,9.64,40.7,,,,,,9.57,,17.57,5.63,13
1.55,9.65,40.7,,,,,,9.58,,17.58,5.64,13.3
1.57,9.65,40.9,,,,,,9.6,,17.6,5.65,13.4
1.58,9.67,40.9,,,,,,9.61,,17.61,5.67,13.4
1.59,9.68,40.8,,,,,,9.62,,17.62,5.68,13.4
1.6,9.69,40.8,,,,,,9.63,,17.63,5.69,13.2
1.62,9.71,41.1,,,,,,9.65,,17.65,5.7,13.2
1.63,9.72,41.1,,,,,,9.66,,17.66,5.71,13.2
1.64,9.73,41,,,,,,9.67,,17.67,5.73,13.5
1.65,9.75,41.3,,,,,,9.68,,17.68,5.74,13.7
1.66,9.76,41.5,,,,,,9.69,,17.7,5.75,14
1.68,9.77,41.7,,,,,,9.71,,17.71,5.76,14
1.69,9.78,41.5,,,,,,9.72,,17.72,5.78,13.9
1.7,9.8,41.5,,,,,,9.73,,17.73,5.79,14.1
1.72,9.81,41.6,,,,,,9.75,,17.75,5.8,14.1
1.73,9.82,41.7,,,,,,9.76,,17.76,5.82,13.9
1.74,9.84,41.7,,,,,,9.77,,17.77,5.83,14.1
1.75,9.85,41.8,,,,,,9.78,,17.78,5.84,14.2
1.76,9.86,41.8,,,,,,9.79,,17.79,5.86,14.2
1.78,9.88,41.6,,,,,,9.81,,17.81,5.87,14.3
1.79,9.89,41.8,,,,,,9.82,,17.82,5.88,14.5
1.8,9.9,41.9,,,,,,9.83,,17.83,5.9,14.4
1.81,9.92,42,,,,,,9.84,,17.84,5.91,14.2
1.83,9.93,42,,,,,,9.86,,17.86,5.93,14.4
1.84,9.94,42.1,,,,,,9.87,,17.87,5.94,14.4
1.85,9.96,42.4,,,,,,9.88,,17.88,5.95,14.4
1.86,9.97,42.2,,,,,,9.89,,17.89,5.97,14.7
1.87,9.98,42.2,,,,,,9.9,,17.91,5.98,14.5
1.89,10,42.6,,,,,,9.92,,17.92,6,14.5
1.9,10.01,42.8,,,,,,9.93,,17.93,6.01,14.9
1.91,10.02,42.7,,,,,,9.94,,17.94,6.02,15
1.93,10.03,42.6,,,,,,9.96,,17.96,6.03,15
1.94,10.05,42.4,,,,,,9.97,,17.97,6.05,14.9
1.95,10.06,42.9,,,,,,9.98,,17.98,6.05,15.1
1.96,10.07,43,,,,,,9.99,,17.99,6.07,15.1
1.97,10.09,43,,,,,,10,,18,6.09,14.9
1.99,10.1,42.8,,,,,,10.02,,18.02,6.09,15.1
2,10.11,42.8,,,,,,10.03,,18.03,6.11,15.2
2.01,10.13,43.1,,,,,,10.04,,18.04,6.12,15.1
2.02,10.14,43.4,,,,,,10.05,,18.05,6.14,15.2
2.04,10.15,43.5,,,,,,10.07,,18.07,6.15,15.2
2.05,10.17,43.6,,,,,,10.08,,18.08,6.16,15.3
2.06,10.18,43.5,,,,,,10.09,,18.09,6.18,15.5
2.07,10.19,43.4,,,,,,10.1,,18.1,6.19,15.5
2.09,10.21,43.7,,,,,,10.12,,18.12,6.2,15.4
2.1,10.22,43.9,,,,,,10.13,,18.13,6.21,15.6
2.11,10.23,44,,,,,,10.14,,18.14,6.23,15.8
2.12,10.24,44,,,,,,10.15,,18.15,6.24,16
2.14,10.25,43.9,,,,,,10.17,,18.17,6.25,16
2.15,10.27,44,,,,,,10.18,,18.18,6.26,16
2.16,10.28,44.2,,,,,,10.19,,18.19,6.28,16.3
2.17,10.29,44.2,,,,,,10.2,,18.2,6.29,16.2
2.18,10.31,44.1,,,,,,10.21,,18.22,6.3,16
2.2,10.32,44.3,,,,,,10.23,,18.23,6.32,16
2.21,10.33,44.5,,,,,,10.24,,18.24,6.32,16.2
2.22,10.35,44.4,,,,,,10.25,,18.25,6.34,16.3
2.23,10.36,44.3,,,,,,10.26,,18.26,6.36,16.2
2.24,10.37,44.5,,,,,,10.27,,18.28,6.36,16.1
2.26,10.38,44.4,,,,,,10.29,,18.29,6.38,16.5
2.27,10.4,44.3,,,,,,10.3,,18.3,6.4,16.5
2.28,10.4,44.6,,,,,,10.31,,18.31,6.41,16.2
2.3,10.42,44.7,,,,,,10.33,,18.33,6.42,16.4
2.31,10.44,44.9,,,,,,10.34,,18.34,6.44,16.6
2.32,10.44,44.8,,,,,,10.35,,18.35,6.45,16.5
2.33,10.46,44.8,,,,,,10.36,,18.36,6.46,16.7
2.35,10.48,45,,,,,,10.38,,18.38,6.48,16.7
2.36,10.48,45,,,,,,10.39,,18.39,6.49,16.8
2.37,10.5,45.2,,,,,,10.4,,18.4,6.5,16.9
2.38,10.52,45.5,,,,,,10.41,,18.41,6.51,17
2.39,10.52,45.6,,,,,,10.42,,18.43,6.53,17
2.41,10.53,45.4,,,,,,10.44,,18.44,6.53,17
2.42,10.55,45.4,,,,,,10.45,,18.45,6.55,17.2
2.43,10.56,45.5,,,,,,10.46,,18.46,6.57,17
2.44,10.57,45.6,,,,,,10.47,,18.47,6.57,16.9
2.45,10.59,45.8,,,,,,10.48,,18.49,6.59,17.1
2.47,10.6,45.6,,,,,,10.5,,18.5,6.6,17.4
2.48,10.61,45.7,,,,,,10.51,,18.51,6.61,17.4
2.49,10.63,45.8,,,,,,10.52,,18.52,6.63,17.5
2.51,10.64,45.8,,,,,,10.54,,18.54,6.64,17.7
2.52,10.65,46,,,,,,10.55,,18.55,6.65,17.6
2.53,10.67,46.1,,,,,,10.56,,18.56,6.67,17.2
2.54,10.68,46.1,,,,,,10.57,,18.57,6.68,17.3
2.56,10.69,46,,,,,,10.59,,18.59,6.69,17.5
2.57,10.71,46,,,,,,10.6,,18.6,6.7,17.7
2.58,10.72,45.9,,,,,,10.61,,18.61,6.72,17.9
2.59,10.73,46.2,,,,,,10.62,,18.62,6.73,17.7
2.6,10.74,46.4,,,,,,10.63,,18.64,6.74,17.6
2.62,10.76,46.1,,,,,,10.65,,18.65,6.75,17.8
2.63,10.77,46.4,,,,,,10.66,,18.66,6.76,18
2.64,10.77,46.6,,,,,,10.67,,18.67,6.78,17.9
2.65,10.79,46.8,,,,,,10.68,,18.68,6.79,18
2.67,10.81,46.8,,,,,,10.7,,18.7,6.8,18.5
2.68,10.81,47.1,,,,,,10.71,,18.71,6.82,18.3
2.69,10.83,47.3,,,,,,10.72,,18.72,6.82,18
2.7,10.84,47.2,,,,,,10.73,,18.73,6.84,18.4
2.72,10.85,47.1,,,,,,10.75,,18.75,6.85,18.5
2.73,10.86,47.2,,,,,,10.76,,18.76,6.86,18.5
2.74,10.88,47.2,,,,,,10.77,,18.77,6.88,18.4
2.75,10.89,47.3,,,,,,10.78,,18.78,6.89,18.6
2.77,10.9,47.2,,,,,,10.8,,18.8,6.91,18.9
2.78,10.92,47.4,,,,,,10.81,,18.81,6.92,18.7
2.79,10.93,47.4,,,,,,10.82,,18.82,6.93,18.8
2.8,10.94,47.4,,,,,,10.83,,18.83,6.94,18.9
2.81,10.96,47.7,,,,,,10.84,,18.85,6.96,18.6
2.83,10.97,47.7,,,,,,10.86,,18.86,6.97,18.5
2.84,10.98,47.8,,,,,,10.87,,18.87,6.99,18.6
2.85,11,48,,,,,,10.88,,18.88,7,19
2.86,11.01,47.8,,,,,,10.89,,18.9,7.01,19.4
2.88,11.02,47.9,,,,,,10.91,,18.91,7.02,19.1
2.89,11.03,47.8,,,,,,10.92,,18.92,7.03,19.1
2.9,11.05,47.9,,,,,,10.93,,18.93,7.05,19.3
2.91,11.06,48.1,,,,,,10.94,,18.94,7.05,19.2
2.93,11.07,48.3,,,,,,10.96,,18.96,7.07,19.2
2.94,11.08,48.2,,,,,,10.97,,18.97,7.09,19.3
2.95,11.09,48.2,,,,,,10.98,,18.98,7.09,19.4
2.96,11.11,48.4,,,,,,10.99,,18.99,7.11,19.2
2.98,11.12,48.6,,,,,,11.01,,19.01,7.12,19.4
2.99,11.14,48.5,,,,,,11.02,,19.02,7.14,19.4
3,11.15,48.4,,,,,,11.03,,19.03,7.15,19.4
3.01,11.16,48.5,,,,,,11.04,,19.04,7.16,19.4
3.02,11.17,48.8,,,,,,11.05,,19.06,7.17,19.5
3.04,11.19,49.1,,,,,,11.07,,19.07,7.19,19.6
3.05,11.19,49,,,,,,11.08,,19.08,7.2,19.7
3.06,11.21,48.9,,,,,,11.09,,19.09,7.21,19.9
3.07,11.23,48.9,,,,,,11.1,,19.11,7.23,20
3.09,11.23,48.8,,,,,,11.12,,19.12,7.24,19.8
3.1,11.25,49.1,,,,,,11.13,,19.13,7.25,20
