Pre,Displacement,Tension,Resistance,Stutus,,0--12,4--12,8--12,,,,
54.94,7.22,35.7,,30.95,7.22,35.7,,,,,,
54.96,7.23,36.1,,30.97,7.23,36.1,,,,,,
54.97,7.24,36.2,,30.98,7.24,36.2,,,,,,
54.98,7.26,36.1,,30.99,7.26,36.1,,,,,,
54.99,7.27,36.1,,31,7.27,36.1,,,,,,
55.01,7.28,35.9,,31.02,7.28,35.9,,,,,,
55.02,7.29,35.9,,31.03,7.29,35.9,,,,,,
55.03,7.3,36.3,,31.04,7.3,36.3,,,,,,
55.04,7.32,36.5,,31.05,7.32,36.5,,,,,,
55.05,7.32,36.4,,31.06,7.32,36.4,,,,,,
55.07,7.34,36.2,,31.08,7.34,36.2,,,,,,
55.08,7.36,36.1,,31.09,7.36,36.1,,,,,,
55.09,7.36,36.3,,31.1,7.36,36.3,,,,,,
55.11,7.38,36.4,,31.12,7.38,36.4,,,,,,
55.12,7.4,36.4,,31.13,7.4,36.4,,,,,,
55.13,7.41,36.6,,31.14,7.41,36.6,,,,,,
55.14,7.42,36.6,,31.15,7.42,36.6,,,,,,
55.16,7.44,36.4,,31.17,7.44,36.4,,,,,,
55.17,7.45,36.6,,31.18,7.45,36.6,,,,,,
55.18,7.46,36.8,,31.19,7.46,36.8,,,,,,
55.19,7.48,36.8,,31.2,7.48,36.8,,,,,,
55.2,7.49,36.8,,31.21,7.49,36.8,,,,,,
55.22,7.5,36.9,,31.23,7.5,36.9,,,,,,
55.23,7.51,36.9,,31.24,7.51,36.9,,,,,,
55.24,7.53,37,,31.25,7.53,37,,,,,,
55.25,7.54,37,,31.26,7.54,37,,,,,,
55.27,7.55,37,,31.28,7.55,37,,,,,,
55.28,7.56,36.8,,31.29,7.56,36.8,,,,,,
55.29,7.57,37.1,,31.3,7.57,37.1,,,,,,
55.3,7.59,37.4,,31.31,7.59,37.4,,,,,,
55.32,7.6,37.4,,31.33,7.6,37.4,,,,,,
55.33,7.61,37.3,,31.34,7.61,37.3,,,,,,
55.34,7.63,37.1,,31.35,7.63,37.1,,,,,,
55.35,7.64,37.5,,31.36,7.64,37.5,,,,,,
55.36,7.65,37.6,,31.37,7.65,37.6,,,,,,
55.38,7.67,37.6,,31.39,7.67,37.6,,,,,,
55.39,7.68,37.5,,31.4,7.68,37.5,,,,,,
55.4,7.69,37.3,,31.41,7.69,37.3,,,,,,
55.41,7.7,37.5,,31.42,7.7,37.5,,,,,,
55.43,7.72,37.7,,31.44,7.72,37.7,,,,,,
55.44,7.73,37.8,,31.45,7.73,37.8,,,,,,
55.45,7.74,37.8,,31.46,7.74,37.8,,,,,,
55.46,7.76,37.8,,31.47,7.76,37.8,,,,,,
55.48,7.76,37.7,,31.49,7.76,37.7,,,,,,
55.49,7.78,37.8,,31.5,7.78,37.8,,,,,,
55.5,7.8,37.8,,31.51,7.8,37.8,,,,,,
55.51,7.8,37.9,,31.52,7.8,37.9,,,,,,
55.52,7.82,38.2,,31.53,7.82,38.2,,,,,,
55.54,7.83,38.2,,31.55,7.83,38.2,,,,,,
55.55,7.84,38.1,,31.56,7.84,38.1,,,,,,
55.56,7.86,38,,31.57,7.86,38,,,,,,
55.57,7.87,38,,31.58,7.87,38,,,,,,
55.59,7.88,38.1,,31.6,7.88,38.1,,,,,,
55.6,7.9,38.1,,31.61,7.9,38.1,,,,,,
55.61,7.91,38.1,,31.62,7.91,38.1,,,,,,
55.62,7.92,38.4,,31.63,7.92,38.4,,,,,,
55.64,7.94,38.7,,31.65,7.94,38.7,,,,,,
55.65,7.95,38.6,,31.66,7.95,38.6,,,,,,
55.66,7.96,38.4,,31.67,7.96,38.4,,,,,,
55.67,7.97,38.4,,31.68,7.97,38.4,,,,,,
55.69,7.99,38.6,,31.7,7.99,38.6,,,,,,
55.7,8,38.6,,31.71,8,38.6,,,,,,
55.71,8.01,38.4,,31.72,8.01,38.4,,,,,,
55.72,8.02,38.4,,31.73,8.02,38.4,,,,,,
55.74,8.04,38.6,,31.75,8.04,38.6,,,,,,
55.75,8.05,38.8,,31.76,8.05,38.8,,,,,,
55.76,8.06,39,,31.77,8.06,39,,,,,,
55.77,8.08,39.1,,31.78,8.08,39.1,,,,,,
55.79,8.09,39.3,,31.8,8.09,39.3,,,,,,
55.8,8.1,39.2,,31.81,8.1,39.2,,,,,,
55.81,8.11,39,,31.82,8.11,39,,,,,,
55.82,8.13,39.2,,31.83,8.13,39.2,,,,,,
55.83,8.14,39.2,,31.84,8.14,39.2,,,,,,
55.85,8.15,39.3,,31.86,8.15,39.3,,,,,,
55.86,8.17,39.2,,31.87,8.17,39.2,,,,,,
55.87,8.18,39.1,,31.88,8.18,39.1,,,,,,
55.88,8.19,39.3,,31.89,8.19,39.3,,,,,,
55.9,8.21,39.5,,31.91,8.21,39.5,,,,,,
55.91,8.22,39.4,,31.92,8.22,39.4,,,,,,
55.92,8.23,39.4,,31.93,8.23,39.4,,,,,,
55.93,8.24,39.4,,31.94,8.24,39.4,,,,,,
55.95,8.26,39.3,,31.96,8.26,39.3,,,,,,
55.96,8.27,39.3,,31.97,8.27,39.3,,,,,,
55.97,8.28,39.2,,31.98,8.28,39.2,,,,,,
55.98,8.29,39.3,,31.99,8.29,39.3,,,,,,
56,8.31,39.7,,32.01,8.31,39.7,,,,,,
56.01,8.31,39.9,,32.02,8.31,39.9,,,,,,
56.02,8.33,39.6,,32.03,8.33,39.6,,,,,,
56.03,8.35,39.8,,32.04,8.35,39.8,,,,,,
56.05,8.35,40.4,,32.06,8.35,40.4,,,,,,
56.06,8.36,40,,32.07,8.36,40,,,,,,
56.07,8.38,39.9,,32.08,8.38,39.9,,,,,,
56.08,8.4,40,,32.09,8.4,40,,,,,,
56.09,8.4,40.2,,32.1,8.4,40.2,,,,,,
56.11,8.42,40.5,,32.12,8.42,40.5,,,,,,
56.12,8.44,40.5,,32.13,8.44,40.5,,,,,,
56.13,8.44,40.4,,32.14,8.44,40.4,,,,,,
56.14,8.46,40.2,,32.15,8.46,40.2,,,,,,
56.16,8.48,40.2,,32.17,8.48,40.2,,,,,,
56.17,8.48,40.4,,32.18,8.48,40.4,,,,,,
56.18,8.5,40.6,,32.19,8.5,40.6,,,,,,
56.19,8.51,40.5,,32.2,8.51,40.5,,,,,,
56.21,8.52,40.5,,32.22,8.52,40.5,,,,,,
56.22,8.53,40.8,,32.23,8.53,40.8,,,,,,
56.23,8.55,40.7,,32.24,8.55,40.7,,,,,,
56.24,8.56,40.5,,32.25,8.56,40.5,,,,,,
56.26,8.57,40.7,,32.27,8.57,40.7,,,,,,
56.27,8.59,40.5,,32.28,8.59,40.5,,,,,,
56.28,8.6,40.6,,32.29,8.6,40.6,,,,,,
56.29,8.61,40.7,,32.3,8.61,40.7,,,,,,
56.3,8.63,40.8,,32.31,8.63,40.8,,,,,,
56.32,8.64,40.8,,32.33,8.64,40.8,,,,,,
56.33,8.65,40.7,,32.34,8.65,40.7,,,,,,
56.34,8.66,40.9,,32.35,8.66,40.9,,,,,,
56.35,8.68,41.1,,32.36,8.68,41.1,,,,,,
56.37,8.69,41.3,,32.38,8.69,41.3,,,,,,
56.38,8.7,41.3,,32.39,8.7,41.3,,,,,,
56.39,8.72,41.1,,32.4,8.72,41.1,,,,,,
56.4,8.73,41.4,,32.41,8.73,41.4,,,,,,
56.42,8.74,41.2,,32.43,8.74,41.2,,,,,,
56.43,8.76,41.2,,32.44,8.76,41.2,,,,,,
56.44,8.77,41.5,,32.45,8.77,41.5,,,,,,
56.45,8.77,41.6,,32.46,8.77,41.6,,,,,,
56.46,8.8,41.5,,32.47,8.8,41.5,,,,,,
56.48,8.81,41.3,,32.49,8.81,41.3,,,,,,
56.49,8.81,41.4,,32.5,8.81,41.4,,,,,,
56.5,8.84,41.6,,32.51,8.84,41.6,,,,,,
56.52,8.85,41.7,,32.53,8.85,41.7,,,,,,
56.53,8.85,41.6,,32.54,8.85,41.6,,,,,,
56.54,8.88,41.6,,32.55,8.88,41.6,,,,,,
56.55,8.89,41.9,,32.56,8.89,41.9,,,,,,
56.56,8.9,42.1,,32.57,8.9,42.1,,,,,,
56.58,8.91,42,,32.59,8.91,42,,,,,,
56.59,8.92,42,,32.6,8.92,42,,,,,,
56.6,8.94,42,,32.61,8.94,42,,,,,,
56.61,8.95,42.1,,32.62,8.95,42.1,,,,,,
56.62,8.96,42.1,,32.63,8.96,42.1,,,,,,
56.64,8.98,42.2,,32.65,8.98,42.2,,,,,,
56.65,8.99,42.3,,32.66,8.99,42.3,,,,,,
56.66,9,42.3,,32.67,9,42.3,,,,,,
56.68,9.01,42.2,,32.69,9.01,42.2,,,,,,
56.69,9.02,42.1,,32.7,9.02,42.1,,,,,,
56.7,9.04,42,,32.71,9.04,42,,,,,,
56.71,9.05,42.1,,32.72,9.05,42.1,,,,,,
56.73,9.06,42.2,,32.74,9.06,42.2,,,,,,
56.74,9.07,42.3,,32.75,9.07,42.3,,,,,,
56.75,9.09,42.6,,32.76,9.09,42.6,,,,,,
56.76,9.1,42.6,,32.77,9.1,42.6,,,,,,
56.77,9.11,42.7,,32.78,9.11,42.7,,,,,,
56.79,9.13,42.9,,32.8,9.13,42.9,,,,,,
56.8,9.14,42.7,,32.81,9.14,42.7,,,,,,
56.81,9.15,42.8,,32.82,9.15,42.8,,,,,,
56.82,9.17,42.8,,32.83,9.17,42.8,,,,,,
56.84,9.18,42.7,,32.85,9.18,42.7,,,,,,
56.85,9.19,42.7,,32.86,9.19,42.7,,,,,,
56.86,9.2,42.9,,32.87,9.2,42.9,,,,,,
56.87,9.22,42.9,,32.88,9.22,42.9,,,,,,
56.89,9.23,42.8,,32.9,9.23,42.8,,,,,,
56.9,9.24,42.8,,32.91,9.24,42.8,,,,,,
56.91,9.25,43,,32.92,9.25,43,,,,,,
56.92,9.27,43.1,,32.93,9.27,43.1,,,,,,
56.93,9.28,43.2,,32.94,9.28,43.2,,,,,,
56.95,9.29,43.1,,32.96,9.29,43.1,,,,,,
56.96,9.31,43.1,,32.97,9.31,43.1,,,,,,
56.97,9.31,43.3,,32.98,9.31,43.3,,,,,,
56.99,9.33,43.3,,33,9.33,43.3,,,,,,
57,9.35,43.4,,33.01,9.35,43.4,,,,,,
57.01,9.35,43.5,,33.02,9.35,43.5,,,,,,
57.02,9.37,43.6,,33.03,9.37,43.6,,,,,,
57.03,9.38,43.6,,33.04,9.38,43.6,,,,,,
57.05,9.4,43.3,,33.06,9.4,43.3,,,,,,
57.06,9.4,43.4,,33.07,9.4,43.4,,,,,,
57.07,9.42,43.8,,33.08,9.42,43.8,,,,,,
57.08,9.43,43.7,,33.09,9.43,43.7,,,,,,
57.1,9.44,43.6,,33.11,9.44,43.6,,,,,,
57.11,9.46,43.5,,33.12,9.46,43.5,,,,,,
57.12,9.47,43.3,,33.13,9.47,43.3,,,,,,
57.13,9.48,43.8,,33.14,9.48,43.8,,,,,,
57.14,9.5,44,,33.15,9.5,44,,,,,,
57.16,9.51,43.9,,33.17,9.51,43.9,,,,,,
57.17,9.52,44,,33.18,9.52,44,,,,,,
57.18,9.53,43.9,,33.19,9.53,43.9,,,,,,
57.2,9.55,44,,33.21,9.55,44,,,,,,
57.21,9.56,44.3,,33.22,9.56,44.3,,,,,,
57.22,9.56,44.6,,33.23,9.56,44.6,,,,,,
57.23,9.58,44.6,,33.24,9.58,44.6,,,,,,
57.24,9.6,44.5,,33.25,9.6,44.5,,,,,,
57.26,9.61,44.5,,33.27,9.61,44.5,,,,,,
57.27,9.62,44.3,,33.28,9.62,44.3,,,,,,
57.28,9.63,44.1,,33.29,9.63,44.1,,,,,,
57.29,9.65,44.2,,33.3,9.65,44.2,,,,,,
57.3,9.66,44.3,,33.31,9.66,44.3,,,,,,
57.32,9.67,44.6,,33.33,9.67,44.6,,,,,,
57.33,9.68,44.4,,33.34,9.68,44.4,,,,,,
57.34,9.69,44.6,,33.35,9.69,44.6,,,,,,
57.35,9.71,44.7,,33.36,9.71,44.7,,,,,,
57.37,9.72,44.5,,33.38,9.72,44.5,,,,,,
57.38,9.73,44.5,,33.39,9.73,44.5,,,,,,
57.39,9.75,44.6,,33.4,9.75,44.6,,,,,,
57.4,9.76,44.5,,33.41,9.76,44.5,,,,,,
57.42,9.77,44.6,,33.43,9.77,44.6,,,,,,
57.43,9.78,45.1,,33.44,9.78,45.1,,,,,,
57.44,9.8,45.1,,33.45,9.8,45.1,,,,,,
57.45,9.81,45.2,,33.46,9.81,45.2,,,,,,
57.47,9.82,45.2,,33.48,9.82,45.2,,,,,,
57.48,9.84,45,,33.49,9.84,45,,,,,,
57.49,9.85,45.1,,33.5,9.85,45.1,,,,,,
57.5,9.86,45.1,,33.51,9.86,45.1,,,,,,
57.52,9.88,45.3,,33.53,9.88,45.3,,,,,,
57.53,9.89,45.4,,33.54,9.89,45.4,,,,,,
57.54,9.9,45.5,,33.55,9.9,45.5,,,,,,
57.55,9.92,45.2,,33.56,9.92,45.2,,,,,,
57.57,9.93,45.1,,33.58,9.93,45.1,,,,,,
57.58,9.94,45.2,,33.59,9.94,45.2,,,,,,
57.59,9.96,45.4,,33.6,9.96,45.4,,,,,,
57.6,9.97,45.3,,33.61,9.97,45.3,,,,,,
57.61,9.98,45.7,,33.62,9.98,45.7,,,,,,
57.63,10,45.7,,33.64,10,45.7,,,,,,
57.64,10.01,45.5,,33.65,10.01,45.5,,,,,,
57.65,10.02,45.7,,33.66,10.02,45.7,,,,,,
57.66,10.03,46,,33.67,10.03,46,,,,,,
57.68,10.05,45.6,,33.69,10.05,45.6,,,,,,
57.69,10.06,45.5,,33.7,10.06,45.5,,,,,,
57.7,10.07,45.9,,33.71,10.07,45.9,,,,,,
57.71,10.09,46,,33.72,10.09,46,,,,,,
57.73,10.1,46.3,,33.74,10.1,46.3,,,,,,
57.74,10.11,46.4,,33.75,10.11,46.4,,,,,,
57.75,10.13,46.3,,33.76,10.13,46.3,,,,,,
57.76,10.14,46.1,,33.77,10.14,46.1,,,,,,
57.78,10.15,46.1,,33.79,10.15,46.1,,,,,,
57.79,10.17,46.1,,33.8,10.17,46.1,,,,,,
57.8,10.18,46,,33.81,10.18,46,,,,,,
57.81,10.19,46.1,,33.82,10.19,46.1,,,,,,
57.82,10.2,46.3,,33.83,10.2,46.3,,,,,,
57.84,10.22,46.3,,33.85,10.22,46.3,,,,,,
57.85,10.23,46.3,,33.86,10.23,46.3,,,,,,
57.86,10.24,46.5,,33.87,10.24,46.5,,,,,,
57.87,10.26,46.7,,33.88,10.26,46.7,,,,,,
57.89,10.27,46.6,,33.9,10.27,46.6,,,,,,
57.9,10.28,46.7,,33.91,10.28,46.7,,,,,,
57.91,10.3,46.6,,33.92,10.3,46.6,,,,,,
57.92,10.31,46.6,,33.93,10.31,46.6,,,,,,
57.94,10.32,46.8,,33.95,10.32,46.8,,,,,,
57.95,10.34,46.7,,33.96,10.34,46.7,,,,,,
57.96,10.35,46.8,,33.97,10.35,46.8,,,,,,
57.97,10.36,47,,33.98,10.36,47,,,,,,
57.99,10.38,47,,34,10.38,47,,,,,,
58,10.39,47.2,,34.01,10.39,47.2,,,,,,
58.01,10.4,47.3,,34.02,10.4,47.3,,,,,,
58.02,10.42,47.3,,34.03,10.42,47.3,,,,,,
58.03,10.43,47.2,,34.04,10.43,47.2,,,,,,
58.05,10.44,47,,34.06,10.44,47,,,,,,
58.06,10.45,47.2,,34.07,10.45,47.2,,,,,,
58.07,10.47,47.4,,34.08,10.47,47.4,,,,,,
58.08,10.48,47.2,,34.09,10.48,47.2,,,,,,
58.1,10.49,47,,34.11,10.49,47,,,,,,
58.11,10.51,47.1,,34.12,10.51,47.1,,,,,,
58.12,10.52,47.4,,34.13,10.52,47.4,,,,,,
58.13,10.53,47.5,,34.14,10.53,47.5,,,,,,
58.15,10.54,47.5,,34.16,10.54,47.5,,,,,,
58.16,10.56,47.7,,34.17,10.56,47.7,,,,,,
58.17,10.57,47.8,,34.18,10.57,47.8,,,,,,
58.18,10.58,47.8,,34.19,10.58,47.8,,,,,,
58.2,10.6,47.9,,34.21,10.6,47.9,,,,,,
58.21,10.6,47.8,,34.22,10.6,47.8,,,,,,
58.22,10.62,47.9,,34.23,10.62,47.9,,,,,,
58.23,10.63,48.1,,34.24,10.63,48.1,,,,,,
58.24,10.64,48.2,,34.25,10.64,48.2,,,,,,
58.26,10.65,48.2,,34.27,10.65,48.2,,,,,,
58.27,10.67,48.1,,34.28,10.67,48.1,,,,,,
58.28,10.68,48,,34.29,10.68,48,,,,,,
58.29,10.69,47.9,,34.3,10.69,47.9,,,,,,
58.31,10.71,48.2,,34.32,10.71,48.2,,,,,,
58.32,10.72,48.3,,34.33,10.72,48.3,,,,,,
58.33,10.73,48.2,,34.34,10.73,48.2,,,,,,
58.34,10.75,48.2,,34.35,10.75,48.2,,,,,,
58.36,10.76,48.3,,34.37,10.76,48.3,,,,,,
58.37,10.77,48.5,,34.38,10.77,48.5,,,,,,
58.38,10.78,48.6,,34.39,10.78,48.6,,,,,,
58.39,10.8,48.4,,34.4,10.8,48.4,,,,,,
58.41,10.81,48.6,,34.42,10.81,48.6,,,,,,
58.42,10.82,48.8,,34.43,10.82,48.8,,,,,,
58.43,10.84,48.9,,34.44,10.84,48.9,,,,,,
58.44,10.85,48.8,,34.45,10.85,48.8,,,,,,
58.45,10.86,48.7,,34.46,10.86,48.7,,,,,,
58.47,10.88,48.9,,34.48,10.88,48.9,,,,,,
58.48,10.89,48.9,,34.49,10.89,48.9,,,,,,
58.49,10.9,49.1,,34.5,10.9,49.1,,,,,,
58.5,10.91,49,,34.51,10.91,49,,,,,,
58.52,10.92,48.8,,34.53,10.92,48.8,,,,,,
58.53,10.94,49,,34.54,10.94,49,,,,,,
58.54,10.95,49.3,,34.55,10.95,49.3,,,,,,
58.55,10.96,49.2,,34.56,10.96,49.2,,,,,,
58.57,10.98,49.1,,34.58,10.98,49.1,,,,,,
58.58,10.99,49.4,,34.59,10.99,49.4,,,,,,
58.59,11,49.3,,34.6,11,49.3,,,,,,
58.6,11.01,49.2,,34.61,11.01,49.2,,,,,,
58.62,11.02,49.4,,34.63,11.02,49.4,,,,,,
58.63,11.03,49.5,,34.64,11.03,49.5,,,,,,
58.64,11.05,49.5,,34.65,11.05,49.5,,,,,,
58.65,11.06,49.5,,34.66,11.06,49.5,,,,,,
58.66,11.07,49.6,,34.67,11.07,49.6,,,,,,
58.68,11.09,49.5,,34.69,11.09,49.5,,,,,,
58.69,11.1,49.5,,34.7,11.1,49.5,,,,,,
58.7,11.11,49.7,,34.71,11.11,49.7,,,,,,
58.71,11.13,50,,34.72,11.13,50,,,,,,
58.73,11.14,49.9,,34.74,11.14,49.9,,,,,,
58.74,11.15,49.7,,34.75,11.15,49.7,,,,,,
58.75,11.16,49.8,,34.76,11.16,49.8,,,,,,
58.76,11.18,49.8,,34.77,11.18,49.8,,,,,,
58.78,11.19,50.2,,34.79,11.19,50.2,,,,,,
58.79,11.2,50.4,,34.8,11.2,50.4,,,,,,
58.8,11.22,50.3,,34.81,11.22,50.3,,,,,,
58.81,11.23,50.3,,34.82,11.23,50.3,,,,,,
58.83,11.23,50.3,,34.84,11.23,50.3,,,,,,
58.84,11.25,50.2,,34.85,11.25,50.2,,,,,,
58.85,11.27,50.4,,34.86,11.27,50.4,,,,,,
58.86,11.27,50.3,,34.87,11.27,50.3,,,,,,
58.87,11.29,50,,34.88,11.29,50,,,,,,
58.89,11.31,50.3,,34.9,11.31,50.3,,,,,,
58.9,11.31,50.6,,34.91,11.31,50.6,,,,,,
58.91,11.33,50.6,,34.92,11.33,50.6,,,,,,
58.92,11.35,50.6,,34.93,11.35,50.6,,,,,,
58.94,11.35,50.7,,34.95,11.35,50.7,,,,,,
58.95,11.37,50.6,,34.96,11.37,50.6,,,,,,
58.96,11.39,50.6,,34.97,11.39,50.6,,,,,,
58.97,11.4,50.7,,34.98,11.4,50.7,,,,,,
58.99,11.4,50.9,,35,11.4,50.9,,,,,,
59,11.42,50.9,,35.01,11.42,50.9,,,,,,
59.01,11.44,51.1,,35.02,11.44,51.1,,,,,,
59.02,11.44,51.1,,35.03,11.44,51.1,,,,,,
59.03,11.46,51,,35.04,11.46,51,,,,,,
59.05,11.47,51,,35.06,11.47,51,,,,,,
59.06,11.48,51,,35.07,11.48,51,,,,,,
59.07,11.5,51.2,,35.08,11.5,51.2,,,,,,
59.08,11.51,51.4,,35.09,11.51,51.4,,,,,,
59.1,11.52,51.3,,35.11,11.52,51.3,,,,,,
59.11,11.53,51.3,,35.12,11.53,51.3,,,,,,
59.12,11.55,51.7,,35.13,11.55,51.7,,,,,,
59.13,11.56,51.9,,35.14,11.56,51.9,,,,,,
59.15,11.57,51.7,,35.16,11.57,51.7,,,,,,
59.16,11.59,51.8,,35.17,11.59,51.8,,,,,,
59.17,11.6,51.9,,35.18,11.6,51.9,,,,,,
59.18,11.61,51.8,,35.19,11.61,51.8,,,,,,
59.2,11.63,51.7,,35.21,11.63,51.7,,,,,,
59.21,11.64,51.8,,35.22,11.64,51.8,,,,,,
59.22,11.65,51.7,,35.23,11.65,51.7,,,,,,
59.23,11.67,51.7,,35.24,11.67,51.7,,,,,,
59.25,11.68,52.1,,35.26,11.68,52.1,,,,,,
59.26,11.69,52.2,,35.27,11.69,52.2,,,,,,
59.27,11.7,52.1,,35.28,11.7,52.1,,,,,,
59.28,11.71,51.7,,35.29,11.71,51.7,,,,,,
59.29,11.72,51.8,,35.3,11.72,51.8,,,,,,
59.31,11.73,52,,35.32,11.73,52,,,,,,
59.32,11.75,52.3,,35.33,11.75,52.3,,,,,,
59.33,11.76,52.2,,35.34,11.76,52.2,,,,,,
59.34,11.77,52.1,,35.35,11.77,52.1,,,,,,
59.36,11.79,52.4,,35.37,11.79,52.4,,,,,,
59.37,11.8,52.5,,35.38,11.8,52.5,,,,,,
59.38,11.81,52.4,,35.39,11.81,52.4,,,,,,
59.39,11.83,52.6,,35.4,11.83,52.6,,,,,,
59.41,11.84,52.6,,35.42,11.84,52.6,,,,,,
59.42,11.85,52.7,,35.43,11.85,52.7,,,,,,
59.43,11.87,52.7,,35.44,11.87,52.7,,,,,,
59.44,11.88,53,,35.45,11.88,53,,,,,,
59.46,11.9,52.9,,35.47,11.9,52.9,,,,,,
59.47,11.91,52.9,,35.48,11.91,52.9,,,,,,
59.48,11.92,52.8,,35.49,11.92,52.8,,,,,,
59.49,11.93,53.1,,35.5,11.93,53.1,,,,,,
59.51,11.94,53.1,,35.52,11.94,53.1,,,,,,
59.52,11.96,53.1,,35.53,11.96,53.1,,,,,,
59.53,11.97,53.1,,35.54,11.97,53.1,,,,,,
59.54,11.98,53.2,,35.55,11.98,53.2,,,,,,
59.55,12,53.2,,35.56,12,53.2,,,,,,
59.57,12.01,53.1,,35.58,12.01,53.1,,,,,,
59.58,12.01,53.3,,35.59,12.01,53.3,,,,,,
59.59,12.01,53.4,,35.6,12.01,53.4,,,,,,
59.6,12.01,53.1,,35.61,12.01,53.1,,,,,,
59.62,12.01,52.8,,35.63,12.01,52.8,,,,,,
59.63,12.01,52.7,,35.64,12.01,52.7,,,,,,
59.64,12.01,53,,35.65,12.01,53,,,,,,
59.65,12.01,53.1,,35.66,12.01,53.1,,,,,,
59.66,12.01,52.9,,35.67,12.01,52.9,,,,,,
59.68,12.01,52.7,,35.69,12.01,52.7,,,,,,
59.69,12.01,52.6,,35.7,12.01,52.6,,,,,,
59.7,12.01,52.6,,35.71,12.01,52.6,,,,,,
59.71,12.01,52.4,,35.72,12.01,52.4,,,,,,
59.73,12.01,52.2,,35.74,12.01,52.2,,,,,,
59.74,12.01,52.2,,35.75,12.01,52.2,,,,,,
59.75,12.01,52.2,,35.76,12.01,52.2,,,,,,
59.76,12.01,52.2,,35.77,12.01,52.2,,,,,,
59.78,12.01,52.2,,35.79,12.01,52.2,,,,,,
59.79,12.01,52.2,,35.8,12.01,52.2,,,,,,
59.8,12.01,52.2,,35.81,12.01,52.2,,,,,,
59.81,12.01,52.2,,35.82,12.01,52.2,,,,,,
59.83,12.01,52,,35.84,12.01,52,,,,,,
59.84,12.01,52,,35.85,12.01,52,,,,,,
59.85,12.01,52.1,,35.86,12.01,52.1,,,,,,
59.86,12.01,52.1,,35.87,12.01,52.1,,,,,,
59.87,12.01,52,,35.88,12.01,52,,,,,,
59.89,12.01,52.1,,35.9,12.01,52.1,,,,,,
59.9,12.01,51.7,,35.91,12.01,51.7,,,,,,
59.91,12.01,52,,35.92,12.01,52,,,,,,
59.93,12.01,52.2,,35.94,12.01,52.2,,,,,,
59.94,12.01,51.9,,35.95,12.01,51.9,,,,,,
59.95,12.01,51.8,,35.96,12.01,51.8,,,,,,
59.96,12.01,51.8,,35.97,12.01,51.8,,,,,,
59.97,12.01,51.8,,35.98,12.01,51.8,,,,,,
59.99,12.01,51.7,,36,12.01,51.7,,,,,,
60,12.01,51.8,,36.01,12.01,51.8,,,,,,
60.02,12.01,51.7,,36.03,12.01,51.7,,,,,,
60.02,12.01,51.7,,36.03,12.01,51.7,,,,,,
60.04,12,51.6,,36.05,12,51.6,,,,,,
60.05,11.98,51.4,,36.06,11.98,51.4,,,,,,
60.06,11.97,51.1,,36.07,11.97,51.1,,,,,,
60.07,11.96,51.1,,36.08,11.96,51.1,,,,,,
60.09,11.94,51.3,,36.1,11.94,51.3,,,,,,
60.1,11.93,51.1,,36.11,11.93,51.1,,,,,,
60.11,11.92,50.8,,36.12,11.92,50.8,,,,,,
60.12,11.9,50.7,,36.13,11.9,50.7,,,,,,
60.13,11.9,50.2,,36.14,11.9,50.2,,,,,,
60.15,11.88,50.1,,36.16,11.88,50.1,,,,,,
60.16,11.87,50,,36.17,11.87,50,,,,,,
60.17,11.85,49.8,,36.18,11.85,49.8,,,,,,
60.18,11.85,49.4,,36.19,11.85,49.4,,,,,,
60.2,11.83,49.2,,36.21,11.83,49.2,,,,,,
60.21,11.81,49.2,,36.22,11.81,49.2,,,,,,
60.22,11.81,49,,36.23,11.81,49,,,,,,
60.23,11.8,49.1,,36.24,11.8,49.1,,,,,,
60.25,11.78,49.1,,36.26,11.78,49.1,,,,,,
60.26,11.77,49,,36.27,11.77,49,,,,,,
60.27,11.76,48.7,,36.28,11.76,48.7,,,,,,
60.28,11.74,48.7,,36.29,11.74,48.7,,,,,,
60.3,11.73,48.7,,36.31,11.73,48.7,,,,,,
60.31,11.72,48.5,,36.32,11.72,48.5,,,,,,
60.32,11.71,48.3,,36.33,11.71,48.3,,,,,,
60.33,11.69,48.3,,36.34,11.69,48.3,,,,,,
60.34,11.68,48.1,,36.35,11.68,48.1,,,,,,
60.36,11.67,47.9,,36.37,11.67,47.9,,,,,,
60.37,11.65,47.8,,36.38,11.65,47.8,,,,,,
60.38,11.65,47.9,,36.39,11.65,47.9,,,,,,
60.39,11.63,47.9,,36.4,11.63,47.9,,,,,,
60.41,11.61,47.9,,36.42,11.61,47.9,,,,,,
60.42,11.61,47.7,,36.43,11.61,47.7,,,,,,
60.43,11.6,47.4,,36.44,11.6,47.4,,,,,,
60.44,11.58,47.2,,36.45,11.58,47.2,,,,,,
60.46,11.57,47.2,,36.47,11.57,47.2,,,,,,
60.47,11.56,47.1,,36.48,11.56,47.1,,,,,,
60.48,11.54,47,,36.49,11.54,47,,,,,,
60.49,11.53,46.6,,36.5,11.53,46.6,,,,,,
60.51,11.52,46.7,,36.52,11.52,46.7,,,,,,
60.52,11.51,47.1,,36.53,11.51,47.1,,,,,,
60.53,11.49,46.8,,36.54,11.49,46.8,,,,,,
60.54,11.48,46.2,,36.55,11.48,46.2,,,,,,
60.55,11.47,46.4,,36.56,11.47,46.4,,,,,,
60.57,11.46,46.5,,36.58,11.46,46.5,,,,,,
60.58,11.44,46.1,,36.59,11.44,46.1,,,,,,
